tag,engine,file,text,audio_s,proc_s,rtf
L1,whisper,babble_0dB/heavy/con_001_pro_001.wav,,4.39,0.89,0.202
L1,whisper,babble_0dB/heavy/con_002_pro_002.wav,打牌给自己发给自己也不着急,3.18,0.72,0.226
L1,whisper,babble_0dB/heavy/con_003_pro_003.wav,,2.96,0.55,0.185
L1,whisper,babble_0dB/heavy/con_004_pro_004.wav,,4.84,0.74,0.152
L1,whisper,babble_0dB/heavy/con_005_pro_005.wav,,2.75,0.53,0.194
L1,whisper,babble_0dB/heavy/con_006_pro_006.wav,謝謝大家,2.57,0.46,0.178
L1,whisper,babble_0dB/heavy/con_007_pro_007.wav,因为你可以走上班的时间,2.89,0.65,0.225
L1,whisper,babble_0dB/heavy/con_008_pro_008.wav,,2.91,0.83,0.285
L1,whisper,babble_0dB/heavy/con_009_pro_009.wav,,3.54,0.73,0.206
L1,whisper,babble_0dB/heavy/con_010_pro_010.wav,,3.49,0.63,0.180
L1,whisper,babble_0dB/heavy/con_011_pro_011.wav,,4.21,0.50,0.118
L1,whisper,babble_0dB/light/con_001_pro_001.wav,他让你在那个时间段你帮他去要那他是怎么还的这种东西,5.94,1.00,0.168
L1,whisper,babble_0dB/light/con_002_pro_002.wav,,3.83,0.77,0.201
L1,whisper,babble_0dB/light/con_003_pro_003.wav,因为有一个解析性的问题,3.91,0.63,0.161
L1,whisper,babble_0dB/light/con_004_pro_004.wav,我跟你们两个人在讲熬夜之类的熬夜就是晚上睡觉晚上睡觉,5.79,0.96,0.166
L1,whisper,babble_0dB/light/con_005_pro_005.wav,晚睡晚寝好 要晚睡晚寝,3.83,0.64,0.167
L1,whisper,babble_0dB/light/con_006_pro_006.wav,,3.60,0.64,0.179
L1,whisper,babble_0dB/light/con_007_pro_007.wav,因为你可以早睡早起上班的时间有网上,3.67,0.66,0.180
L1,whisper,babble_0dB/light/con_008_pro_008.wav,因为你可以为了身体健康进行下班的时间,3.73,0.77,0.207
L1,whisper,babble_0dB/light/con_009_pro_009.wav,有个人的生活中间必须就是本地,4.23,0.63,0.149
L1,whisper,babble_0dB/light/con_010_pro_010.wav,不太一致你是怎么说的外面是简单的,4.69,0.76,0.161
L1,whisper,babble_0dB/light/con_011_pro_011.wav,你没有多两个小时,5.71,0.95,0.166
L1,whisper,babble_0dB/no/con_001_pro_001.wav,他让你留在那个时间段你当时要的那他是怎么回来的,6.87,0.87,0.126
L1,whisper,babble_0dB/no/con_002_pro_002.wav,然后他就发个屁股真不着急,4.22,0.70,0.165
L1,whisper,babble_0dB/no/con_003_pro_003.wav,因为有一个前提是你没有讨论,4.48,0.58,0.129
L1,whisper,babble_0dB/no/con_004_pro_004.wav,我跟你们讲我们在讲的是熬夜所谓的熬夜就是晚睡晚醒是吗,6.35,0.93,0.146
L1,whisper,babble_0dB/no/con_005_pro_005.wav,我觉得呢晚睡晚睡好我先聊晚睡,4.48,0.62,0.139
L1,whisper,babble_0dB/no/con_006_pro_006.wav,,4.22,0.68,0.162
L1,whisper,babble_0dB/no/con_007_pro_007.wav,因为你可以早睡早睡你上班的时间别忘了,4.14,0.68,0.165
L1,whisper,babble_0dB/no/con_008_pro_008.wav,那你准备了身体健康吗下半身体健康,4.22,0.86,0.203
L1,whisper,babble_0dB/no/con_009_pro_009.wav,那你个人的生活风格也就这么简单,4.65,0.65,0.139
L1,whisper,babble_0dB/no/con_010_pro_010.wav,不太明显你是怎么读的读外的事情来读,5.42,0.80,0.147
L1,whisper,babble_0dB/no/con_011_pro_011.wav,你没有多两个小时但是你自己有什么事多两个小时我可以,6.61,1.08,0.164
L1,whisper,babble_5dB/heavy/con_001_pro_001.wav,它让你在那个时间转它是永远的结果,4.39,0.71,0.162
L1,whisper,babble_5dB/heavy/con_002_pro_002.wav,哪怕就是自己洗衣服刷个洗衣服洗不着,3.18,0.77,0.242
L1,whisper,babble_5dB/heavy/con_003_pro_003.wav,因为有一个前提性问题没有讨论,2.96,0.58,0.196
L1,whisper,babble_5dB/heavy/con_004_pro_004.wav,我们讲的熬夜的熬夜就是晚睡晚起是吧,4.84,0.69,0.142
L1,whisper,babble_5dB/heavy/con_005_pro_005.wav,我都觉得晚睡晚醒就是一个有趣的,2.75,0.60,0.218
L1,whisper,babble_5dB/heavy/con_006_pro_006.wav,,2.57,0.48,0.187
L1,whisper,babble_5dB/heavy/con_007_pro_007.wav,因为你可以早上班的时间一定也晚一点,2.89,0.58,0.201
L1,whisper,babble_5dB/heavy/con_008_pro_008.wav,因为你可以为了身上你已经绝望了,2.91,0.65,0.222
L1,whisper,babble_5dB/heavy/con_009_pro_009.wav,个人的生活空间必定也就这么,3.54,0.64,0.181
L1,whisper,babble_5dB/heavy/con_010_pro_010.wav,不太一致不太一致,3.49,0.61,0.175
L1,whisper,babble_5dB/heavy/con_011_pro_011.wav,你没有多两个小时十点几,4.21,0.63,0.150
L1,whisper,babble_5dB/light/con_001_pro_001.wav,它让你在那个时间段拥有比方是一样那它是怎么环节我们的统一的,5.94,0.94,0.159
L1,whisper,babble_5dB/light/con_002_pro_002.wav,然后他这个字就是一个刷抖音的字没问题没问题先不着急,3.83,0.85,0.223
L1,whisper,babble_5dB/light/con_003_pro_003.wav,我往这里再稍微解释一下因为有一个前提性的问题没有讨论,3.91,0.83,0.212
L1,whisper,babble_5dB/light/con_004_pro_004.wav,不过分也是一种药我们在讲的是熬夜所谓的熬夜就是晚睡晚起是吧,5.79,1.02,0.176
L1,whisper,babble_5dB/light/con_005_pro_005.wav,我都觉得晚睡晚起我今天比较晚睡晚起,3.83,0.84,0.219
L1,whisper,babble_5dB/light/con_006_pro_006.wav,我睡早起也睡不厭天是晚的就晚起,3.60,0.80,0.222
